ID_PROYECTO,ENTIDAD
3806,Red de Universidades Católicas de Colombia-RUCC
3805,UNIVERSIDAD PONTIFICIA BOLIVARIANA
3793,Universidad del Valle
3791,Biblioteca Pública Piloto de Medellín
3771,Corporación Universitaria Iberoamericana
3732,Corporación Desarrollo y Paz de Córdoba y Urabá - CORDUPAZ
3688,Universidad de la República
3687,Universidad del Valle
3678,Congregación de Religiosos Terciarios Capuchinos 
3675,Universidad San Buenaventura
3666,"Escuela Superior de Guerra ""General Rafael Reyes Prieto"""
3636,Fundación Fenima
3602,Colegio New Oxford
3600,Corporación Región 
3539,Universidad de las Islas Baleares 			
3533,Universidad de las Islas Baleares 			
3527,Corporación Universitaria Comfacauca
3501,"UNIVERSIDAD METROPOLITANA DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA (UMECIT)"
3498,Universidad Nacional de Colombia
3486,Corporación Psicológica Iberoamericana de Clínica y Salud - APICSA Colombia
3480,Neuropser
3806,UNIVERSIDAD PONTIFICIA BOLIVARIANA
3688,Corporación Universitaria Minuto de Dios- UNIMINUTO
3501,Universidad San Buenaventura
3498,"UNIVERSIDAD METROPOLITANA DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA (UMECIT)"
