ID_PROYECTO,PROGRAMA,UNIDAD,REGION
3806,TEOLOGÍA,FACULTAD DE FILOSOFIA Y TEOLOGIA,MEDELLÍN
3805,ADMINISTRACIÓN DE EMPRESAS,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",MEDELLÍN
3796,TEOLOGÍA,FACULTAD DE FILOSOFIA Y TEOLOGIA,MEDELLÍN
3795,TEOLOGÍA,FACULTAD DE FILOSOFIA Y TEOLOGIA,MEDELLÍN
3793,PSICOLOGÍA,"FACULTAD DE CIENCIAS SOCIALES, SALUD Y BIENESTAR",MEDELLÍN
3792,DISEÑO GRÁFICO,"FACULTAD DE COMUNICACIÓN, PUBLICIDAD  Y DISEÑO",MEDELLÍN
3791,COMUNICACIÓN SOCIAL,"FACULTAD DE COMUNICACIÓN, PUBLICIDAD  Y DISEÑO",MEDELLÍN
3787,DERECHO,FACULTAD DE DERECHO Y CIENCIAS POLITICAS,MANIZALES
3783,PSICOLOGÍA,"FACULTAD DE CIENCIAS SOCIALES, SALUD Y BIENESTAR",MEDELLÍN
3779,DERECHO,FACULTAD DE DERECHO Y CIENCIAS POLITICAS,MEDELLÍN
3771,NEGOCIOS INTERNACIONALES,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",MANIZALES
3768,CONTADURÍA PÚBLICA,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",MEDELLÍN
3764,COMUNICACIÓN SOCIAL,"FACULTAD DE COMUNICACIÓN, PUBLICIDAD  Y DISEÑO",MEDELLÍN
3736,PSICOLOGÍA,"FACULTAD DE CIENCIAS SOCIALES, SALUD Y BIENESTAR",MEDELLÍN
3732,TRABAJO SOCIAL,"FACULTAD DE CIENCIAS SOCIALES, SALUD Y BIENESTAR",MEDELLÍN
3726,DERECHO,FACULTAD DE DERECHO Y CIENCIAS POLITICAS,MANIZALES
3717,COMUNICACIÓN SOCIAL,"FACULTAD DE COMUNICACIÓN, PUBLICIDAD  Y DISEÑO",MEDELLÍN
3706,INGENIERÍA CIVIL,FACULTAD DE INGENIERÍAS Y ARQUITECTURA,MEDELLÍN
3689,ADMINISTRACIÓN DE EMPRESAS ,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",MEDELLÍN
3688,CONTADURÍA PÚBLICA,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",MEDELLÍN
3687,GASTRONOMÍA,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",MEDELLÍN
3685,COMUNICACIÓN SOCIAL,"FACULTAD DE COMUNICACIÓN, PUBLICIDAD  Y DISEÑO",MEDELLÍN
3678,PSICOLOGÍA,"FACULTAD DE CIENCIAS SOCIALES, SALUD Y BIENESTAR",MEDELLÍN
3675,LICENCIATURA EN EDUCACIÓN INFANTIL,FACULTAD DE EDUCACIÓN Y HUMANIDADES,MEDELLÍN
3668,INGENIERÍA DE SISTEMAS,FACULTAD DE INGENIERÍAS Y ARQUITECTURA,MEDELLÍN
3666,PUBLICIDAD,"FACULTAD DE COMUNICACIÓN, PUBLICIDAD  Y DISEÑO",MEDELLÍN
3665,INGENIERÍA INDUSTRIAL,FACULTAD DE INGENIERÍAS Y ARQUITECTURA,MEDELLÍN
3661,PSICOLOGÍA,"FACULTAD DE CIENCIAS SOCIALES, SALUD Y BIENESTAR",MANIZALES
3657,INGENIERÍA DE SISTEMAS,FACULTAD DE INGENIERÍAS Y ARQUITECTURA,MEDELLÍN
3651,COMUNICACIÓN SOCIAL,"FACULTAD DE COMUNICACIÓN, PUBLICIDAD  Y DISEÑO",MANIZALES
3649,TEOLOGÍA,FACULTAD DE FILOSOFIA Y TEOLOGIA,MEDELLÍN
3648,FILOSOFÍA,FACULTAD DE FILOSOFIA Y TEOLOGIA,MEDELLÍN
3647,FILOSOFÍA,FACULTAD DE FILOSOFIA Y TEOLOGIA,MEDELLÍN
3646,FILOSOFÍA,FACULTAD DE FILOSOFIA Y TEOLOGIA,MEDELLÍN
3636,PSICOLOGÍA,"FACULTAD DE CIENCIAS SOCIALES, SALUD Y BIENESTAR",BOGOTÁ
3632,DERECHO,FACULTAD DE DERECHO Y CIENCIAS POLITICAS,MONTERÍA
3630,PSICOLOGÍA,"FACULTAD DE CIENCIAS SOCIALES, SALUD Y BIENESTAR",MEDELLÍN
